zipcode,number
00000,41
00112,1
00135,1
00141,1
00146,1
00199,1
00200,1
00208,1
00229,1
00300,1
00608,1
00610,1
00622,1
00659,1
00682,1
00683,1
00690,1
00692,1
00693,1
00727,1
00757,1
00765,1
00778,2
00795,1
00820,1
00852,1
00917,1
00926,4
00956,1
00957,1
00959,1
00969,1
00976,1
00982,1
00985,1
00987,2
01000,6
01001,7
01002,5
01011,1
01015,3
01018,1
01027,1
01028,1
01030,2
01033,1
01036,1
01051,2
01052,1
01060,1
01075,2
01076,1
01093,1
01105,1
01230,1
01252,1
01254,1
01257,2
01301,1
01342,1
01401,1
01403,1
01430,1
01450,1
01451,1
01453,1
01462,1
01463,1
01474,1
01500,1
01501,1
01521,1
01534,1
01536,2
01545,5
01581,3
01605,1
01606,1
01608,1
01663,1
01701,1
01706,1
01718,1
01719,5
01720,15
01721,2
01730,3
01740,1
01741,1
01742,2
01748,2
01752,1
01754,1
01760,2
01761,1
01772,1
01773,1
01775,4
01776,1
01778,2
01801,1
01803,2
01810,8
01826,1
01844,2
01845,2
01876,1
01880,1
01886,9
01890,1
01907,1
01913,1
01915,1
01921,1
01930,2
01940,1
01945,1
02021,1
02025,1
02038,2
02048,1
02056,1
02067,2
02068,1
02072,1
02100,1
02115,1
02122,1
02125,1
02127,1
02130,1
02132,2
02139,2
02140,1
02143,2
02144,1
02148,1
02155,1
02176,2
02184,1
02190,2
02356,2
02364,1
02400,2
02420,7
02421,5
02440,1
02445,1
02446,3
02458,1
02460,1
02461,1
02464,1
02465,1
02466,1
02467,5
02468,1
02472,2
02474,1
02478,2
02481,1
02492,1
02493,4
02703,1
02713,1
02716,1
02725,1
02734,1
02740,1
02747,1
02760,1
02766,1
02780,1
02790,1
02806,1
02809,1
02818,1
02821,1
02831,2
02838,1
02840,1
02860,1
02864,4
02895,1
02904,1
02920,1
02BP1,1
03000,26
03001,5
03002,12
03003,2
03004,1
03005,1
03008,1
03009,1
03015,1
03019,1
03032,1
03051,2
03054,1
03062,4
03063,3
03067,1
03087,2
03102,1
03110,1
03168,1
03202,1
03220,1
03227,1
03229,1
03230,1
03300,1
03301,2
03304,3
03401,1
03600,2
03630,1
03675,1
03700,3
03710,1
03728,1
03755,1
03768,1
03801,2
03818,1
03862,1
03907,1
03914,1
04011,2
04015,1
04018,1
04043,1
04062,2
04082,1
04100,1
04105,2
04108,1
04111,1
04117,1
04129,1
04148,1
04161,1
04265,1
04280,1
04313,1
04315,1
04350,1
04355,1
04378,1
04400,3
04410,1
04421,1
04423,1
04427,1
04439,1
04500,1
04520,1
04595,1
04600,1
04609,2
04660,1
04665,1
04670,1
04703,1
04713,1
04720,1
04739,1
04773,1
04800,2
04915,1
04927,1
04937,1
04963,1
04974,1
04983,1
05000,25
05001,2
05002,6
05003,4
05004,2
05005,1
05006,4
05008,1
05009,2
05018,1
05032,1
05065,2
05100,1
05113,1
05116,2
05118,1
05119,1
05120,1
05216,1
05246,1
05300,4
05305,1
05396,1
05400,1
05401,1
05402,1
05445,1
05452,1
05501,4
05502,1
05504,1
05507,4
05515,1
05542,2
05553,1
05555,2
05600,4
05602,2
05620,1
05641,1
05649,4
05670,1
05673,1
05704,1
05709,1
05725,1
05769,1
05770,1
05778,1
05794,1
05797,1
05834,1
05837,1
05860,1
05915,1
06000,3
06001,3
06002,1
06004,1
06013,1
06015,1
06033,2
06034,1
06037,1
06053,2
06067,2
06073,2
06084,1
06090,1
06091,1
06094,1
06095,2
06096,1
06100,5
06117,1
06119,2
06120,1
06123,1
06130,1
06186,1
06190,1
06237,1
06246,1
06250,1
06255,2
06265,1
06274,2
06275,1
06276,1
06280,2
06281,2
06282,1
06293,1
06299,1
06300,12
06319,1
06321,1
06350,1
06355,2
06360,1
06362,1
06370,2
06371,1
06374,1
06376,1
06385,1
06405,1
06410,1
06417,1
06420,1
06450,1
06457,1
06460,2
06461,1
06470,1
06477,2
06478,1
06479,1
06482,2
06489,1
06492,2
06500,5
06501,1
